method,B0_rate_past,B0_count_past,B0_n_past,B0_rate_future,B0_count_future,B0_n_future,growth_absolute,growth_ratio
U-Net,0.0,0,794,0.0,0,206,0.0,0.0
YOLO,0.002519,2,794,0.0,0,206,-0.002519,0.0
GAN,0.001259,1,794,0.014563,3,206,0.013304,11.5631
CycleGAN,0.0,0,794,0.0,0,206,0.0,0.0
Transformer,0.002519,2,794,0.019417,4,206,0.016899,7.7087
Attention,0.013854,11,794,0.019417,4,206,0.005564,1.4016
Autoencoder,0.001259,1,794,0.038835,8,206,0.037576,30.8349
CNN,0.016373,13,794,0.048544,10,206,0.032171,2.9649
Domain Adaptation,0.0,0,794,0.0,0,206,0.0,0.0
ResNet,0.0,0,794,0.0,0,206,0.0,0.0
VGG,0.0,0,794,0.0,0,206,0.0,0.0
EfficientNet,0.0,0,794,0.0,0,206,0.0,0.0
